,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
1568,xtklbWLh/,xtklbWLh22,22,18,"Goal!  Hannover 1, 1899 Hoffenheim 1. Sejad Salihovic (1899 Hoffenheim) converts the penalty with a left footed shot to the top left corner.",1,,2,TSG Hoffenheim,Hannover 96,sejad salihovic,,,,12.0,1.0,1,14.0,2.0,0,2.0,0
1579,xtklbWLh/,xtklbWLh33,33,30,"Goal!  Hannover 2, 1899 Hoffenheim 1. Mohammed Abdellaoue (Hannover) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Hannover 96,TSG Hoffenheim,mohammed abdellaoue,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
1821,84Llk2m6/,84Llk2m662,62,56,"Goal!  Bordeaux 1, St Etienne 2. Jussie (Bordeaux) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Bordeaux,St Etienne,jussie,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
1908,fLN0n0XO/,fLN0n0XO38,38,32,Penalty missed! Bad penalty by Julien FA©ret (Rennes) right footed shot is just a bit too high. Julien FA©ret should be disappointed.,1,,2,Stade Rennes,Dijon FCO,julien feret,,,,1.0,2.0,0,14.0,1.0,0,2.0,0
1946,fLN0n0XO/,fLN0n0XO76,76,57,"Penalty missed! Still  Dijon 1, Rennes 3. Gregory Thil (Dijon) hits the left post with a right footed shot.",1,,2,Stade Rennes,Dijon FCO,gregory thil,,,,7.0,4.0,0,14.0,1.0,0,2.0,0
2391,bw0Yaqcc/,bw0Yaqcc51,51,42,"Goal!  Schalke 1, 1. FC Koln 1. Klaas-Jan Huntelaar (Schalke) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Schalke 04,FC Cologne,klaasjan huntelaar,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
2807,KhlsbNR9/,KhlsbNR935,35,27,"Goal!  FC Nurnberg 0, Hannover 2. Konstantin Rausch (Hannover) converts the penalty with a left footed shot to the bottom right corner.",1,,2,Hannover 96,Nurnberg,konstantin rausch,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
3128,t2kwa3C3/,t2kwa3C317,17,25,"Goal!  Hamburg 1, Hertha Berlin 0. Mladen Petric (Hamburg) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Hamburg SV,Hertha Berlin,mladen petric,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
3274,UPAXkaZk/,UPAXkaZk59,59,67,"Goal!  Borussia Monchengladbach 1, Stuttgart 0. Filip Daems (Borussia Monchengladbach) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Borussia Monchengladbach,VfB Stuttgart,filip daems,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
3590,x8cIHKWb/,x8cIHKWb74,74,84,"Goal!  Toulouse 2, Dijon 0. Paulo Machado (Toulouse) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Toulouse,Dijon FCO,paulo machado,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
4287,WMIN4blq/,WMIN4blq37,37,32,"Goal!  Borussia Monchengladbach 2, Wolfsburg 1. Filip Daems (Borussia Monchengladbach) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Borussia Monchengladbach,VfL Wolfsburg,filip daems,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
4645,ADHR3I3k/,ADHR3I3k63,63,59,"Penalty saved! Sascha Molders (FC Augsburg) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom right corner.",1,,1,FC Augsburg,TSG Hoffenheim,sascha molders,,,,4.0,1.0,0,14.0,2.0,0,2.0,0
4677,ADHR3I3k/,ADHR3I3k95,95,76,"Goal!  FC Augsburg 0, 1899 Hoffenheim 2. Sejad Salihovic (1899 Hoffenheim) converts the penalty with a left footed shot to the centre of the goal.",1,,2,TSG Hoffenheim,FC Augsburg,sejad salihovic,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
5177,StGWCMt3/,StGWCMt3140,140,87,"Goal!  SV Werder Bremen 4, SC Freiburg 3. Aaron Hunt (SV Werder Bremen) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Werder Bremen,SC Freiburg,aaron hunt,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
5412,vuIoDdoU/,vuIoDdoU101,101,90,"Goal!  Caen 1, Lille 2. Benjamin Nivet (Caen) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Caen,Lille,benjamin nivet,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
5560,0Ed6GSCi/,0Ed6GSCi36,36,31,"Goal!  Montpellier 1, Rennes 0. YounA©s Belhanda (Montpellier) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Montpellier,Stade Rennes,younes belhanda,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
5709,fydAFnSc/,fydAFnSc75,75,68,"Goal!  Nancy 1, Sochaux 2. Youssouf Hadji (Nancy) converts the penalty with a right footed shot to the bottom left corner.",1,,1,AS Nancy Lorraine,Sochaux,youssouf hadji,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
5798,j3kJDQdA/,j3kJDQdA55,55,64,"Goal!  Paris Saint Germain 2, Valenciennes 1. NenAª (Paris Saint Germain) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Paris Saint-Germain,Valenciennes,nene,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
6686,CtEdUSdJ/,CtEdUSdJ63,63,68,"Goal!  Sporting GijA³n 1, Real Sociedad 2. De las Cuevas (Sporting GijA³n) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Sporting Gijon,Real Sociedad,de las cuevas,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
6860,htFsNcAR/,htFsNcAR36,36,37,"Goal!  Kaiserslautern 0, Bayern Munich 1. Mario Gomez (Bayern Munich) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Bayern Munich,Kaiserslautern,mario gomez,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
6884,htFsNcAR/,htFsNcAR60,60,55,"Penalty saved! Mario Gomez (Bayern Munich) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,Bayern Munich,Kaiserslautern,mario gomez,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
7341,O0NQQuB2/,O0NQQuB217,17,11,"Goal!  Hamburg 1, 1. FC Koln 0. Mladen Petric (Hamburg) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Hamburg SV,FC Cologne,mladen petric,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
7923,4xCdEwYE/,4xCdEwYE34,34,42,"Goal!  Sochaux 2, St Etienne 1. Ryad Boudebouz (Sochaux) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Sochaux,St Etienne,ryad boudebouz,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
8368,MDMiFJI8/,MDMiFJI816,16,11,"Penalty saved! M'Baye Niang (Caen) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,Caen,Stade Rennes,mbaye niang,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
8851,vBv3fxdk/,vBv3fxdk87,87,75,"Goal!  Lille 3, Marseille 2. Moussa Sow (Lille) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Lille,Marseille,moussa sow,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
9803,bBByVmEG/,bBByVmEG62,62,60,"Goal!  Real Madrid 2, Getafe 1. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Real Madrid,Getafe,cristiano ronaldo,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
10524,n3jHEF21/,n3jHEF2159,59,73,"Goal!  Bayern Munich 6, SC Freiburg 0. Mario Gomez (Bayern Munich) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Bayern Munich,SC Freiburg,mario gomez,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
10567,n9s9ZBao/,n9s9ZBao22,22,24,"Penalty saved! Alvaro Negredo (FC Sevilla) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom right corner.",1,,2,Sevilla,Villarreal,alvaro negredo,,,,4.0,1.0,0,14.0,2.0,0,2.0,0
10579,n9s9ZBao/,n9s9ZBao34,34,35,"Goal!  Villarreal 1, FC Sevilla 1. Giuseppe Rossi (Villarreal) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Villarreal,Sevilla,giuseppe rossi,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
11013,WGiCxJf8/,WGiCxJf863,63,45,"Goal!  FSV Mainz 0, 1899 Hoffenheim 2. Ryan Babel (1899 Hoffenheim) converts the penalty with a right footed shot to the high centre of the goal.",1,,2,TSG Hoffenheim,Mainz,ryan babel,,,,,1.0,1,14.0,1.0,0,2.0,0
11588,Ait1vcn4/,Ait1vcn462,62,51,"Goal!  Palermo 1, Inter Milan 2. Diego Milito (Inter Milan) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Internazionale,Palermo,diego milito,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
12189,jiZlsa2o/,jiZlsa2o84,84,90,"Goal!  Juventus 4, Parma 1. Sebastian Giovinco (Parma) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Parma,Juventus,sebastian giovinco,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
12590,tjqPVTbA/,tjqPVTbA74,74,70,"Penalty saved! Javi Fuego (Rayo Vallecano) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Rayo Vallecano,Real Zaragoza,javi fuego,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
12884,vseKzcPK/,vseKzcPK42,42,31,"Goal!  1. FC Koln 0, FC Nurnberg 1. Timmy Simons (FC Nurnberg) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Nurnberg,FC Cologne,timmy simons,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
12891,vseKzcPK/,vseKzcPK49,49,35,"Goal!  1. FC Koln 0, FC Nurnberg 2. Timmy Simons (FC Nurnberg) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Nurnberg,FC Cologne,timmy simons,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
14300,lboqICv7/,lboqICv780,80,78,"Goal!  Lille 2, Sochaux 1. Eden Hazard (Lille) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Lille,Sochaux,eden hazard,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
14604,roxEZD9s/,roxEZD9s69,69,52,"Goal!  Toulouse 1, Bordeaux 2. Franck Tabanou (Toulouse) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Toulouse,Bordeaux,franck tabanou,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
14641,roxEZD9s/,roxEZD9s106,106,77,"Penalty saved! Franck Tabanou (Toulouse) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom left corner.",1,,1,Toulouse,Bordeaux,franck tabanou,,,,3.0,1.0,0,14.0,2.0,0,2.0,0
15485,8nUoJhP0/,8nUoJhP021,21,20,"Goal!  Evian Thonon Gaillard 2, Paris Saint Germain 0. Yannick Sagbo (Evian Thonon Gaillard) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Evian Thonon Gaillard,Paris Saint-Germain,yannick sagbo,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
15704,AgaNr7rG/,AgaNr7rG114,114,87,"Penalty saved! Luis GarcA­a (Real Zaragoza) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Real Zaragoza,Espanyol,luis garcia,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
15825,CpxqkfoG/,CpxqkfoG11,11,8,"Goal!  Udinese 1, Fiorentina 0. Antonio Di Natale (Udinese) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Udinese,Fiorentina,antonio di natale,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
16483,tKfJqmT9/,tKfJqmT958,58,45,"Goal!  Athletic de Bilbao 1, Real Betis 3. Salva Sevilla (Real Betis) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Real Betis,Athletic Bilbao,salva sevilla,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
16543,tKfJqmT9/,tKfJqmT9118,118,86,"Goal!  Athletic de Bilbao 2, Real Betis 3. David LA³pez (Athletic de Bilbao) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Athletic Bilbao,Real Betis,david lopez,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
16641,txjnvf1Q/,txjnvf1Q90,90,78,"Goal!  Rennes 1, Nancy 1. Andre Luiz (Nancy) converts the penalty with a right footed shot to the top left corner.",1,,2,AS Nancy Lorraine,Stade Rennes,andre luiz,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
16789,WO9qTRrT/,WO9qTRrT39,39,36,"Goal!  AtlA©tico de Madrid 2, Racing 0. Falcao (AtlA©tico de Madrid) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Atletico Madrid,Racing Santander,falcao,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
17028,zslhWYgp/,zslhWYgp43,43,45,"Goal!  Catania 1, Cesena 0. Maxi LA³pez (Catania) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Catania,Cesena,maxi lopez,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
17406,xhgZWBg0/,xhgZWBg011,11,8,"Goal!  Bordeaux 1, Lille 0. Cheick DiabatA© (Bordeaux) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Bordeaux,Lille,cheick diabate,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
17519,xhgZWBg0/,xhgZWBg0124,124,83,"Penalty missed! Still  Bordeaux 1, Lille 1. Cheick DiabatA© (Bordeaux) hits the right post with a right footed shot.",1,,2,Lille,Bordeaux,cheick diabataa©,,,,7.0,4.0,0,14.0,1.0,0,2.0,0
17626,YNlZ3g09/,YNlZ3g0988,88,86,"Goal!  Novara 2, Inter Milan 0. Marco Rigoni (Novara) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Novara,Internazionale,marco rigoni,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
18289,fgaelE0M/,fgaelE0M50,50,48,"Goal!  Cesena 1, Lazio 1. Hernanes (Lazio) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Lazio,Cesena,hernanes,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
19203,pd37mXws/,pd37mXws38,38,36,"Goal!  Paris Saint Germain 1, Nice 0. NenAª (Paris Saint Germain) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Paris Saint-Germain,Nice,nene,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
19229,pd37mXws/,pd37mXws64,64,62,"Goal!  Paris Saint Germain 1, Nice 1. Luciano FabiA¡n MonzA³n (Nice) converts the penalty with a left footed shot to the bottom right corner.",1,,2,Nice,Paris Saint-Germain,luciano fabian monzon,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
19243,pd37mXws/,pd37mXws78,78,73,"Goal!  Paris Saint Germain 2, Nice 1. Kevin Gameiro (Paris Saint Germain) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Paris Saint-Germain,Nice,kevin gameiro,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
19340,QLDDg4sS/,QLDDg4sS75,75,72,"Penalty saved! Raul Tamudo (Rayo Vallecano) fails to capitalise on this great opportunity,  right footed shot saved  in the centre of the goal.",1,,1,Rayo Vallecano,Levante,raul tamudo,,,,5.0,1.0,0,14.0,1.0,0,2.0,0
19591,tOdGoB8g/,tOdGoB8g18,18,22,"Goal!  Sochaux 0, Rennes 1. Victor Hugo Montano (Rennes) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Stade Rennes,Sochaux,victor hugo montano,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
19640,tOdGoB8g/,tOdGoB8g67,67,69,"Goal!  Sochaux 2, Rennes 4. Youssouf Hadji (Rennes) converts the penalty with a right footed shot to the top right corner.",1,,2,Stade Rennes,Sochaux,youssouf hadji,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
19713,UaBtVkOC/,UaBtVkOC42,42,33,"Goal!  Dijon 1, Brest 0. Christophe Mandanne (Dijon) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Dijon FCO,Brest,christophe mandanne,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
19788,xdeQ5FVd/,xdeQ5FVd4,4,3,"Goal!  Lecce 0, Atalanta 1. GermA¡n Denis (Atalanta) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Atalanta,Lecce,german denis,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
19902,0l1deQCF/,0l1deQCF9,9,12,"Goal!  Real Betis 2, Real Zaragoza 0. Salva Sevilla (Real Betis) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Real Betis,Real Zaragoza,salva sevilla,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
19937,0l1deQCF/,0l1deQCF44,44,47,"Goal!  Real Betis 3, Real Zaragoza 1. BeA±at (Real Betis) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Real Betis,Real Zaragoza,benat,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
20681,4lz9Q0xo/,4lz9Q0xo110,110,86,"Goal!  Lyon 3, Bordeaux 1. Anthony Modeste (Bordeaux) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Bordeaux,Lyon,anthony modeste,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
21459,jkvGo2EA/,jkvGo2EA55,55,45,"Penalty saved! GrA©gory Pujol (Valenciennes) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Valenciennes,Marseille,gregory pujol,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
21769,MXdukFe0/,MXdukFe069,69,51,"Goal!  Real Madrid 3, Rayo Vallecano 1. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the top left corner.",1,,1,Real Madrid,Rayo Vallecano,cristiano ronaldo,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
21807,MXdukFe0/,MXdukFe0107,107,84,"Goal!  Real Madrid 6, Rayo Vallecano 2. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the high centre of the goal.",1,,1,Real Madrid,Rayo Vallecano,cristiano ronaldo,,,,,1.0,1,14.0,1.0,0,2.0,0
21895,vH7YqR7h/,vH7YqR7h85,85,75,"Goal!  Borussia Monchengladbach 1, FC Nurnberg 0. Filip Daems (Borussia Monchengladbach) converts the penalty with a left footed shot to the top right corner.",1,,1,Borussia Monchengladbach,Nurnberg,filip daems,,,,13.0,1.0,1,14.0,2.0,0,2.0,0
22336,xECinMZ1/,xECinMZ182,82,69,"Penalty missed! Still  FC Sevilla 1, Valencia 0. Ever Banega (Valencia) hits the right post with a right footed shot.",1,,2,Valencia,Sevilla,ever banega,,,,7.0,4.0,0,14.0,1.0,0,2.0,0
23663,td4Xg9x2/,td4Xg9x269,69,60,"Penalty saved! Sergio Pellissier (Chievo) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Chievo Verona,Genoa,sergio pellissier,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
23714,v97zjetf/,v97zjetf15,15,14,"Goal!  Levante 1, Espanyol 0. RubA©n SuA¡rez (Levante) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Levante,Espanyol,ruben suarez,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
23763,v97zjetf/,v97zjetf64,64,58,"Goal!  Levante 2, Espanyol 0. RubA©n SuA¡rez (Levante) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Levante,Espanyol,ruben suarez,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
24400,0Wesr5x5/,0Wesr5x549,49,49,"Penalty saved! Gibril Sankoh (FC Augsburg) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,2,FC Augsburg,Borussia Dortmund,gibril sankoh,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
25244,h2drBdIJ/,h2drBdIJ41,41,34,"Goal!  Osasuna 0, Mallorca 1. Tomer Hemed (Mallorca) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Mallorca,Osasuna,tomer hemed,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
25298,h2drBdIJ/,h2drBdIJ95,95,79,"Goal!  Osasuna 2, Mallorca 2. Tomer Hemed (Mallorca) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Mallorca,Osasuna,tomer hemed,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
25904,OpmE5zts/,OpmE5zts48,48,41,"Goal!  Villarreal 1, Real Zaragoza 1. Giuseppe Rossi (Villarreal) converts the penalty with a left footed shot to the high centre of the goal.",1,,1,Villarreal,Real Zaragoza,giuseppe rossi,,,,,1.0,1,14.0,2.0,0,2.0,0
26268,rTKl0sEc/,rTKl0sEc72,72,62,"Goal!  Nancy 1, Evian Thonon Gaillard 1. CA©dric Mongongu (Evian Thonon Gaillard) converts the penalty with a right footed shot to the top right corner.",1,,2,Evian Thonon Gaillard,AS Nancy Lorraine,cedric mongongu,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
26404,W4ZEqMTG/,W4ZEqMTG100,100,88,"Goal!  Bordeaux 2, Montpellier 1. YounA©s Belhanda (Montpellier) converts the penalty with a right footed shot to the high centre of the goal.",1,,2,Montpellier,Bordeaux,younes belhanda,,,,,1.0,1,14.0,1.0,0,2.0,0
26465,xjhPeMD6/,xjhPeMD653,53,43,"Penalty saved! Marek Hamsik (Napoli) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,2,Napoli,Internazionale,marek hamsik,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
27207,j5M1u3MN/,j5M1u3MN1,1,2,"Goal!  Hannover 1, SV Werder Bremen 0. Mohammed Abdellaoue (Hannover) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Hannover 96,Werder Bremen,mohammed abdellaoue,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
27409,jwbOIqLJ/,jwbOIqLJ74,74,49,"Goal!  Novara 1, Catania 1. Marco Rigoni (Novara) converts the penalty with a right footed shot to the high centre of the goal.",1,,1,Novara,Catania,marco rigoni,,,,,1.0,1,14.0,1.0,0,2.0,0
27987,ryw3B1Dg/,ryw3B1Dg99,99,72,"Goal!  Udinese 2, Bologna 0. Antonio Di Natale (Udinese) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Udinese,Bologna,antonio di natale,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
28264,UTdSH3zQ/,UTdSH3zQ125,125,90,"Goal!  Palermo 2, Siena 0. Abel Hernandez (Palermo) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Palermo,Siena,abel hernandez,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
28338,WhkHcrqf/,WhkHcrqf72,72,61,"Penalty saved! Adrian Mutu (Cesena) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Cesena,Chievo Verona,adrian mutu,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
28551,zBZfDNrs/,zBZfDNrs43,43,42,"Goal!  Parma 2, Genoa 0. Sebastian Giovinco (Parma) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Parma,Genoa,sebastian giovinco,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
28627,zBZfDNrs/,zBZfDNrs119,119,90,"Goal!  Parma 3, Genoa 1. Rodrigo Palacio (Genoa) converts the penalty with a right footed shot to the top left corner.",1,,2,Genoa,Parma,rodrigo palacio,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
29021,As9zE0rc/,As9zE0rc84,84,58,"Goal!  Montpellier 3, Dijon 2. Olivier Giroud (Montpellier) converts the penalty with a left footed shot to the top left corner.",1,,1,Montpellier,Dijon FCO,olivier giroud,,,,12.0,1.0,1,14.0,2.0,0,2.0,0
29283,C0URm0Ep/,C0URm0Ep114,114,77,"Goal!  Stuttgart 2, 1899 Hoffenheim 0. Pavel Pogrebnyak (Stuttgart) converts the penalty with a left footed shot to the bottom right corner.",1,,1,VfB Stuttgart,TSG Hoffenheim,pavel pogrebnyak,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
29545,GpRverMA/,GpRverMA29,29,30,"Goal!  Schalke 0, Kaiserslautern 1. Christian Tiffert (Kaiserslautern) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Kaiserslautern,Schalke 04,christian tiffert,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
29586,GpRverMA/,GpRverMA70,70,62,"Goal!  Schalke 1, Kaiserslautern 1. Klaas-Jan Huntelaar (Schalke) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Schalke 04,Kaiserslautern,klaasjan huntelaar,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
29663,I9ipkH5d/,I9ipkH5d24,24,31,"Goal!  Lyon 3, Nancy 0. Michel Bastos (Lyon) converts the penalty with a left footed shot to the top right corner.",1,,1,Lyon,AS Nancy Lorraine,michel bastos,,,,13.0,1.0,1,14.0,2.0,0,2.0,0
29734,I9ipkH5d/,I9ipkH5d95,95,86,"Penalty saved! Andre Luiz (Nancy) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,AS Nancy Lorraine,Lyon,andre luiz,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
29851,KOQ1A36i/,KOQ1A36i107,107,83,"Goal!  Wolfsburg 2, FC Nurnberg 1. Mario Mandzukic (Wolfsburg) converts the penalty with a right footed shot to the bottom left corner.",1,,1,VfL Wolfsburg,Nurnberg,mario mandzukic,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
30088,KYB9eJSS/,KYB9eJSS104,104,90,"Goal!  Auxerre 1, Lille 3. Mathieu Debuchy (Lille) converts the penalty with a right footed shot to the top left corner.",1,,2,Lille,AJ Auxerre,mathieu debuchy,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
30312,M5CtOZ1P/,M5CtOZ1P107,107,90,"Goal!  Mallorca 1, Valencia 1. Tomer Hemed (Mallorca) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Mallorca,Valencia,tomer hemed,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
30376,nBMzdO64/,nBMzdO6461,61,69,"Goal!  Bayern Munich 4, Hertha Berlin 0. Mario Gomez (Bayern Munich) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Bayern Munich,Hertha Berlin,mario gomez,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
30440,pnGG8acC/,pnGG8acC44,44,50,"Goal!  Catania 2, Inter Milan 1. Francesco Lodi (Catania) converts the penalty with a left footed shot to the high centre of the goal.",1,,1,Catania,Internazionale,francesco lodi,,,,,1.0,1,14.0,2.0,0,2.0,0
30733,tIwdgMjN/,tIwdgMjN110,110,88,"Goal!  FSV Mainz 0, FC Augsburg 1. Jan-Ingwer Callsen-Bracker (FC Augsburg) converts the penalty with a right footed shot to the bottom left corner.",1,,2,FC Augsburg,Mainz,janingwer callsenbracker,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
31487,fLs0ht6T/,fLs0ht6T104,104,81,"Penalty missed! Bad penalty by Papiss Demba Cisse (SC Freiburg) right footed shot is close, but misses the top right corner. Papiss Demba Cisse should be disappointed.",1,,1,SC Freiburg,Hamburg SV,papiss demba cisse,,,,13.0,2.0,0,14.0,1.0,0,2.0,0
