,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
340823,dEltwZfS/,dEltwZfS21,21,30,"Penalty saved! Kevin-Prince Boateng (FC Schalke 04) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Schalke 04,Borussia Dortmund,kevinprince boateng,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
341063,fJ9lSZV3/,fJ9lSZV36,6,7,"Penalty saved! Christian Benteke (Aston Villa) fails to capitalise on this great opportunity,  right footed shot saved  in the top left corner.",1,,1,Aston Villa,Everton,christian benteke,,,,12.0,1.0,0,14.0,1.0,0,2.0,0
341692,lCTKVjm2/,lCTKVjm213,13,10,"Goal!  Hannover 96 0, 1899 Hoffenheim 1. Sejad Salihovic (1899 Hoffenheim) converts the penalty with a left footed shot to the high centre of the goal.",1,,2,TSG Hoffenheim,Hannover 96,sejad salihovic,,,,,1.0,1,14.0,2.0,0,2.0,0
342141,Qaa82LF5/,Qaa82LF526,26,25,"Goal!  Levante 1, Espanyol 0. Nabil El Zhar (Levante) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Levante,Espanyol,nabil el zhar,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
342721,tzC0PXFM/,tzC0PXFM67,67,66,"Goal!        Goal!  Liverpool 3, West Bromwich Albion 1. James Morrison (West Bromwich Albion) converts the penalty with a right footed shot to the top left corner.",1,,2,West Brom,Liverpool,james morrison,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
343167,bqUtMBFA/,bqUtMBFA23,23,23,"Goal!  Juventus 1, Genoa 0. Arturo Vidal (Juventus) converts the penalty with a right footed shot to the top left corner.",1,,1,Juventus,Genoa,arturo vidal,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
343286,Cxgh63Gt/,Cxgh63Gt51,51,49,"Penalty saved! Giovani dos Santos (Villarreal) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom right corner.",1,,1,Villarreal,Valencia,giovani dos santos,,,,4.0,1.0,0,14.0,2.0,0,2.0,0
343545,fBNkKkpN/,fBNkKkpN11,11,14,"Goal!  Napoli 1, Torino 0. Gonzalo HiguaA­n (Napoli) converts the penalty with a right footed shot to the top left corner.",1,,1,Napoli,Torino,gonzalo higuain,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
343560,fBNkKkpN/,fBNkKkpN26,26,32,"Goal!  Napoli 2, Torino 0. Gonzalo HiguaA­n (Napoli) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Napoli,Torino,gonzalo higuain,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
344479,W4juIk8d/,W4juIk8d73,73,79,"Goal!        Goal!  Tottenham Hotspur 1, Hull City 0. Roberto Soldado (Tottenham Hotspur) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Tottenham,Hull,roberto soldado,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
344551,xzTpLVUG/,xzTpLVUG56,56,55,"Goal!  Lazio 2, Cagliari 0. Antonio Candreva (Lazio) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Lazio,Cagliari,antonio candreva,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
344943,f1rc5NVn/,f1rc5NVn43,43,44,"Penalty saved! Diego Castro (Getafe) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Getafe,Athletic Bilbao,diego castro,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
345461,CnfGzBU3/,CnfGzBU327,27,28,"Goal!  Fiorentina 1, Napoli 1. Giuseppe Rossi (Fiorentina) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Fiorentina,Napoli,giuseppe rossi,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
345585,d6IEJDjc/,d6IEJDjc41,41,33,"Goal!  Valencia CF 1, AlmerA­a 0. Jonas (Valencia CF) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Valencia,Almeria,jonas,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
