time,number,latitude,longitude,u10,v10,t2m,d2m,tp
2023-04-01 06:00:00,8,50.75,4.25,6.408758,0.31321168,281.61813,280.93472,1.7087526
2023-04-01 06:00:00,9,50.75,4.25,6.4975214,-0.23931411,281.72757,280.8989,1.3402405
2023-04-01 06:00:00,10,50.75,4.25,6.336855,0.48709953,281.68875,280.9479,1.1788816
2023-04-01 06:00:00,11,50.75,4.25,6.196025,0.5872866,281.32016,280.75015,0.9885435
2023-04-01 06:00:00,12,50.75,4.25,6.86026,-0.050916404,281.5846,280.89056,1.5606318
2023-04-01 06:00:00,13,50.75,4.25,6.2334633,-0.28307396,281.41257,280.77252,1.4636736
2023-04-01 06:00:00,14,50.75,4.25,6.3956175,-0.4472886,281.36725,280.7622,2.2368345
2023-04-01 06:00:00,15,50.75,4.25,6.240158,0.26046956,281.69702,280.9493,2.4704638
2023-04-01 06:00:00,16,50.75,4.25,6.6274433,0.07322341,281.70352,280.78827,3.05579
2023-04-01 06:00:00,17,50.75,4.25,5.7080755,0.6821765,281.8192,281.02957,1.6761942
2023-04-01 06:00:00,18,50.75,4.25,6.0983353,-0.47861147,281.48016,280.85477,2.0561562
2023-04-01 06:00:00,19,50.75,4.25,6.337599,0.6015662,281.6472,280.935,3.1938934
2023-04-01 06:00:00,20,50.75,4.25,6.2389183,0.013111174,281.63968,281.0482,2.1334362
2023-04-01 06:00:00,21,50.75,4.25,6.1310635,-0.057825863,281.76562,281.06912,2.4389791
2023-04-01 06:00:00,22,50.75,4.25,6.404296,-0.23424718,281.74533,280.45386,1.6897907
2023-04-01 06:00:00,23,50.75,4.25,6.2161074,-0.2160523,281.6657,280.81693,1.7806664
2023-04-01 06:00:00,24,50.75,4.25,6.420908,-0.48874533,281.51648,280.80777,2.1781588
2023-04-01 06:00:00,25,50.75,4.25,6.752901,-0.07233569,281.51822,280.73325,2.4307508
2023-04-01 06:00:00,26,50.75,4.25,6.4300814,-0.5730406,281.77914,281.0955,2.790676
2023-04-01 06:00:00,27,50.75,4.25,5.9837866,0.66973937,281.74985,281.1594,2.4597301
2023-04-01 06:00:00,28,50.75,4.25,6.3276815,0.57761335,281.76688,281.05994,2.344884
2023-04-01 06:00:00,29,50.75,4.25,5.3688917,0.52325904,281.7789,281.23505,2.8543606
2023-04-01 06:00:00,30,50.75,4.25,5.8940315,0.35443807,281.6965,280.9089,1.6042814
2023-04-01 06:00:00,31,50.75,4.25,5.7866726,0.05802262,281.79892,281.26828,3.0017653
2023-04-01 06:00:00,32,50.75,4.25,6.640336,-0.48759374,281.6344,281.01697,2.5942554
2023-04-01 06:00:00,33,50.75,4.25,5.6617107,0.0423612,281.67624,280.89056,2.3545437
2023-04-01 06:00:00,34,50.75,4.25,7.045472,-0.13889676,281.50522,280.79572,1.8261042
2023-04-01 06:00:00,35,50.75,4.25,5.8206406,-0.0020896196,281.55154,281.01523,3.0704594
2023-04-01 06:00:00,36,50.75,4.25,5.187646,0.66421187,281.76962,281.25797,2.3638458
